Date,Service description,Service ID,Cost ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($)
2024-02-19,Vertex AI,C7E2-9256-1C43,322.89,0.00,0.00,322.890393,322.89
2024-02-19,Notebooks,D73B-5EEA-8215,13.70,0.00,0.00,13.699736,13.70
2024-02-19,BigQuery,24E6-581D-38E5,7.36,0.00,0.00,7.362054,7.36
2024-02-19,Cloud SQL,9662-B51E-5089,2.00,0.00,0.00,1.995362,2.00
2024-02-19,Compute Engine,6F81-5844-456A,1.76,0.00,0.00,1.763662,1.76
2024-02-19,Dataplex,51C6-B3F5-9B38,0.06,0.00,0.00,0.058000,0.06
2024-02-19,Networking,E505-1604-58F8,0.47,-0.47,0.00,0.000000,0.00
2024-02-18,Vertex AI,C7E2-9256-1C43,68.77,0.00,0.00,68.769637,68.77
2024-02-18,BigQuery,24E6-581D-38E5,25.56,0.00,0.00,25.558160,25.56
2024-02-18,Notebooks,D73B-5EEA-8215,17.92,0.00,0.00,17.922207,17.92
2024-02-18,Cloud SQL,9662-B51E-5089,3.68,0.00,0.00,3.683741,3.68
2024-02-18,Compute Engine,6F81-5844-456A,3.22,0.00,0.00,3.217367,3.22
2024-02-18,Dataplex,51C6-B3F5-9B38,0.10,0.00,0.00,0.103000,0.10
2024-02-18,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.002048,0.00
2024-02-18,Networking,E505-1604-58F8,0.58,-0.58,0.00,0.000000,0.00
2024-02-17,Notebooks,D73B-5EEA-8215,15.48,0.00,0.00,15.479713,15.48
2024-02-17,Cloud SQL,9662-B51E-5089,3.68,0.00,0.00,3.683740,3.68
2024-02-17,Compute Engine,6F81-5844-456A,2.10,0.00,0.00,2.104304,2.10
2024-02-17,BigQuery,24E6-581D-38E5,0.35,0.00,0.00,0.350755,0.35
2024-02-17,Dataplex,51C6-B3F5-9B38,0.09,0.00,0.00,0.094500,0.09
2024-02-17,Vertex AI,C7E2-9256-1C43,0.04,0.00,0.00,0.039631,0.04
2024-02-17,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000014,0.00
2024-02-17,Networking,E505-1604-58F8,0.55,-0.55,0.00,0.000000,0.00
2024-02-16,Notebooks,D73B-5EEA-8215,13.77,0.00,0.00,13.770945,13.77
2024-02-16,Cloud SQL,9662-B51E-5089,3.68,0.00,0.00,3.683742,3.68
2024-02-16,Dataplex,51C6-B3F5-9B38,0.02,0.00,0.00,0.016000,0.02
2024-02-16,Compute Engine,6F81-5844-456A,0.00,0.00,0.00,0.001324,0.00
2024-02-16,Vertex AI,C7E2-9256-1C43,0.00,0.00,0.00,0.000624,0.00
2024-02-16,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000014,0.00
2024-02-16,Networking,E505-1604-58F8,0.51,-0.51,0.00,0.000000,0.00
2024-02-15,Notebooks,D73B-5EEA-8215,14.75,0.00,0.00,14.746129,14.75
2024-02-15,Cloud SQL,9662-B51E-5089,3.68,0.00,0.00,3.683754,3.68
2024-02-15,Compute Engine,6F81-5844-456A,0.43,0.00,0.00,0.430622,0.43
2024-02-15,Dataplex,51C6-B3F5-9B38,0.03,0.00,0.00,0.032000,0.03
2024-02-15,Vertex AI,C7E2-9256-1C43,0.00,0.00,0.00,0.000499,0.00
2024-02-15,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000014,0.00
2024-02-15,Networking,E505-1604-58F8,0.49,-0.49,0.00,0.000000,0.00
2024-02-14,Notebooks,D73B-5EEA-8215,18.71,0.00,-3.74,14.966653,14.97
2024-02-14,Cloud SQL,9662-B51E-5089,3.68,0.00,-0.93,2.752169,2.75
2024-02-14,Compute Engine,6F81-5844-456A,0.53,0.00,-0.00,0.533036,0.53
2024-02-14,Dataplex,51C6-B3F5-9B38,0.00,0.00,0.00,0.005000,0.00
2024-02-14,Vertex AI,C7E2-9256-1C43,0.00,0.00,-0.00,0.000232,0.00
2024-02-14,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000034,0.00
2024-02-14,Networking,E505-1604-58F8,0.62,-0.62,0.00,0.000000,0.00
2024-02-14,Deep Learning VM,1394-64A3-F0C6,0.00,0.00,-0.00,-0.000003,-0.00
2024-02-13,Dataplex,51C6-B3F5-9B38,0.00,0.00,-0.00,0.000000,0.00
2024-02-13,Compute Engine,6F81-5844-456A,0.00,0.00,-0.00,0.000000,0.00
2024-02-13,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,-0.00,0.000000,0.00
2024-02-13,Cloud SQL,9662-B51E-5089,3.68,0.00,-3.68,0.000000,0.00
2024-02-13,Vertex AI,C7E2-9256-1C43,0.00,0.00,-0.00,0.000000,0.00
2024-02-13,Notebooks,D73B-5EEA-8215,16.71,0.00,-16.71,0.000000,0.00
2024-02-13,Networking,E505-1604-58F8,0.39,-0.39,0.00,0.000000,0.00
2024-02-12,Compute Engine,6F81-5844-456A,0.01,0.00,-0.01,0.000000,0.00
2024-02-12,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,-0.00,0.000000,0.00
2024-02-12,Cloud SQL,9662-B51E-5089,3.68,0.00,-3.68,0.000000,0.00
2024-02-12,Notebooks,D73B-5EEA-8215,3.27,0.00,-3.27,0.000000,0.00
2024-02-12,Networking,E505-1604-58F8,0.05,-0.05,0.00,0.000000,0.00
2024-02-11,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,-0.00,0.000000,0.00
2024-02-11,Cloud SQL,9662-B51E-5089,3.68,0.00,-3.68,0.000000,0.00
2024-02-10,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,-0.00,0.000000,0.00
2024-02-10,Cloud SQL,9662-B51E-5089,3.68,0.00,-3.68,0.000000,0.00
2024-02-09,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,-0.00,0.000000,0.00
2024-02-09,Cloud SQL,9662-B51E-5089,3.71,0.00,-3.71,0.000000,0.00
2024-02-08,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,-0.00,0.000000,0.00
2024-02-08,Cloud SQL,9662-B51E-5089,17.47,0.00,-17.47,0.000000,0.00
2024-02-07,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,-0.00,0.000000,0.00
2024-02-07,Cloud SQL,9662-B51E-5089,42.83,0.00,-42.83,0.000000,0.00
2024-02-06,Dataplex,51C6-B3F5-9B38,0.01,0.00,-0.01,0.000000,0.00
2024-02-06,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,-0.00,0.000000,0.00
2024-02-06,Cloud SQL,9662-B51E-5089,46.19,0.00,-46.19,0.000000,0.00
2024-02-05,Dataplex,51C6-B3F5-9B38,0.02,0.00,-0.02,0.000000,0.00
2024-02-05,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,-0.00,0.000000,0.00
2024-02-05,Cloud SQL,9662-B51E-5089,46.75,0.00,-46.75,0.000000,0.00
2024-02-04,Dataplex,51C6-B3F5-9B38,0.01,0.00,-0.01,0.000000,0.00
2024-02-04,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,-0.00,0.000000,0.00
2024-02-04,Cloud SQL,9662-B51E-5089,40.84,0.00,-40.84,0.000000,0.00
2024-02-03,Cloud SQL,9662-B51E-5089,39.56,0.00,-39.56,0.000000,0.00
2024-02-02,Compute Engine,6F81-5844-456A,0.00,0.00,-0.00,0.000000,0.00
2024-02-02,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,-0.00,0.000000,0.00
2024-02-02,Cloud SQL,9662-B51E-5089,23.19,0.00,-23.19,0.000000,0.00
2024-02-02,Networking,E505-1604-58F8,0.01,-0.01,0.00,0.000000,0.00
